id:ID,:LABEL,metric,value
E54_量度_Artifact_玉器_86_量度信息,E54_量度,量度信息,"{'height': 1.7, 'diameter': 6.4, 'hole_diameter_outer': 5.3, 'hole_diameter_inner': 5.1} |  | {'diameter': 6.4, 'hole_diameter': 5.3, 'height': 1.8}"
E54_量度_Artifact_玉器_87_量度信息,E54_量度,量度信息,"{'diameter': 14.3, 'thickness_center': 1.5, 'thickness_edge': 0.9, 'hole_diameter_outer': 4.4, 'hole_diameter_inner_min': 4.15, 'hole_diameter_inner_max': 4.2} | "
E54_量度_Artifact_玉器_88_量度信息,E54_量度,量度信息,"{'height': 2.45, 'diameter_upper_min': 3.2, 'diameter_upper_max': 3.3, 'diameter_lower_min': 3.1, 'diameter_lower_max': 3.2, 'hole_diameter_inner': 0.4} | "
E54_量度_Artifact_玉器_89_量度信息,E54_量度,量度信息,"{'length': 2.95, 'width': 5.1, 'thickness': 0.6} | 长2.95厘米，两翼宽5.1厘米，厚0.6厘米 | "
E54_量度_Artifact_玉器_90_量度信息,E54_量度,量度信息,"{'height': 5.27, 'width_upper': 5.4, 'width_middle': 10.34, 'width_lower': 6.3, 'thickness': 0.4} | 上宽10.4厘米，下宽6.4厘米，通高5.2厘米，厚0.3厘米"
E54_量度_Artifact_玉器_91_量度信息,E54_量度,量度信息,"{""height"": 4.47, ""width"": 7.05, ""thickness"": 0.85}"
E54_量度_Artifact_玉器_92_量度信息,E54_量度,量度信息,"{""length"": 7.05, ""diameter"": 0.6}"
E54_量度_Artifact_玉器_93_量度信息,E54_量度,量度信息,"{""length"": 6.6, ""diameter"": 0.55}"
E54_量度_Artifact_玉器_94_量度信息,E54_量度,量度信息,"{'length': 8.68, 'width': 0.98} | {'length': 8.7}"
E54_量度_Artifact_玉器_95_量度信息,E54_量度,量度信息,"{""height"": 3.2, ""diameter"": 4.2, ""hole_diameter"": 0.9}"
E54_量度_Artifact_玉器_96_量度信息,E54_量度,量度信息,"{""height"": 0.92, ""diameter"": 4.3}"
E54_量度_Artifact_玉器_97_量度信息,E54_量度,量度信息,"{'height': 1.05, 'diameter': 4.32} | "
E54_量度_Artifact_玉器_98_量度信息,E54_量度,量度信息,"{'height': 3.4, 'diameter': 4.32, 'hole_diameter': 0.7} | "
E54_量度_Artifact_玉器_99_量度信息,E54_量度,量度信息,"{'height': 3.15, 'diameter': 4.6, 'hole_diameter': 1.8} | {'height': 3.15, 'diameter': 4.6, 'hole_diameter_outer_upper': 1.8, 'hole_diameter_outer_lower': 2, 'hole_diameter_inner': 1.5}"
E54_量度_Artifact_玉器_100_量度信息,E54_量度,量度信息,"{""height"": 2.26, ""diameter"": 3.94, ""hole_diameter_outer"": 1.1, ""hole_diameter_inner"": 0.95}"
E54_量度_Artifact_玉器_101_量度信息,E54_量度,量度信息,"{""height"": 2.47, ""diameter"": 3.92, ""hole_diameter_outer"": 1.3, ""hole_diameter_inner"": 1.0}"
E54_量度_Artifact_玉器_102_量度信息,E54_量度,量度信息,"{""height"": 2.8, ""diameter_min"": 4.9, ""diameter_max"": 5.05, ""hole_diameter_outer"": 1.1, ""hole_diameter_inner"": 0.9}"
E54_量度_Artifact_玉器_103_量度信息,E54_量度,量度信息,"{""height_min"": 2.23, ""height_max"": 2.4, ""diameter"": 4.85, ""hole_diameter_outer_min"": 1.55, ""hole_diameter_outer_max"": 1.65, ""hole_diameter_inner"": 1.28}"
E54_量度_Artifact_玉器_104_量度信息,E54_量度,量度信息,"{""height"": 1.57, ""diameter"": 4.6, ""hole_diameter_outer_min"": 1.2, ""hole_diameter_outer_max"": 1.4, ""hole_diameter_inner"": 0.95}"
E54_量度_Artifact_玉器_105_量度信息,E54_量度,量度信息,"{} | {'diameter_min': 14, 'diameter_max': 14.4, 'thickness': 4, 'hole_diameter_outer_upper_min': 6.3, 'hole_diameter_outer_upper_max': 6.7, 'hole_diameter_outer_lower_min': 6.1, 'hole_diameter_outer_lower_max': 6.6, 'hole_diameter_inner_min': 5.9, 'hole_diameter_inner_max': 6.2} | {'diameter_min': 14, 'diameter_max': 14.5, 'hole_diameter_min': 6.2, 'hole_diameter_max': 6.6, 'thickness_min': 1.8, 'thickness_max': 3.8}"
E54_量度_Artifact_玉器_106_量度信息,E54_量度,量度信息,"{'height': 1.95, 'diameter': 8.8, 'hole_diameter_outer': 6.4, 'hole_diameter_inner_min': 6, 'hole_diameter_inner_max': 6.1} | {'diameter': 8.8, 'hole_diameter': 6.4, 'height': 1.9}"
E54_量度_Artifact_玉器_107_量度信息,E54_量度,量度信息,"{'height': 5.4, 'upper_diameter_min': 7.9, 'upper_diameter_max': 8.05, 'lower_diameter_min': 7.7, 'lower_diameter_max': 7.85, 'hole_diameter_outer_upper': 6.7, 'hole_diameter_outer_lower': 6.5, 'hole_diameter_inner': 6.2} | {'height': 5.3, 'diameter': 7.8, 'hole_diameter': 6.7}"
E54_量度_Artifact_玉器_108_量度信息,E54_量度,量度信息,"{""length"": 15.6, ""upper_width"": 8.6, ""blade_width"": 11.3, ""thickness"": 0.7, ""hole_diameter_outer"": 2.1, ""hole_diameter_inner"": 1.8}"
E54_量度_Artifact_玉器_109_量度信息,E54_量度,量度信息,"{""height"": 2.25, ""length"": 6.15, ""width"": 2.13, ""mortise_diameter"": 1.0}"
E54_量度_Artifact_玉器_110_量度信息,E54_量度,量度信息,{}
E54_量度_Artifact_玉器_111_量度信息,E54_量度,量度信息,"{'height': 1.6, 'diameter': 8.5, 'hole_diameter_outer_min': 6.5, 'hole_diameter_outer_max': 6.6, 'hole_diameter_inner_min': 6.2, 'hole_diameter_inner_max': 6.3} | {'diameter': 8.3, 'hole_diameter': 6.9, 'height': 1.8}"
E54_量度_Artifact_玉器_113_量度信息,E54_量度,量度信息,长4.6厘米，射径1.2厘米
E54_量度_Artifact_玉器_117_量度信息,E54_量度,量度信息,"{""length"": 6.4, ""width"": 3.9, ""thickness"": 2.5}"
E54_量度_Artifact_玉器_118_量度信息,E54_量度,量度信息,"{""height"": 3.4, ""upper_outer_diameter_min"": 1.53, ""upper_outer_diameter_max"": 1.58, ""lower_outer_diameter_min"": 1.55, ""lower_outer_diameter_max"": 1.56, ""outer_hole_diameter_min"": 0.5, ""outer_hole_diameter_max"": 0.6, ""inner_hole_diameter"": 0.3}"
