:START_ID,:END_ID,:TYPE
Artifact_陶器_87,E25_ManMadeFeature_Artifact_陶器_87_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_88,E25_ManMadeFeature_Artifact_陶器_88_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_89,E25_ManMadeFeature_Artifact_陶器_89_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_90,E25_ManMadeFeature_Artifact_陶器_90_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_91,E25_ManMadeFeature_Artifact_陶器_91_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_92,E25_ManMadeFeature_Artifact_陶器_92_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_93,E25_ManMadeFeature_Artifact_陶器_93_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_94,E25_ManMadeFeature_Artifact_陶器_94_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_95,E25_ManMadeFeature_Artifact_陶器_95_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_96,E25_ManMadeFeature_Artifact_陶器_96_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_97,E25_ManMadeFeature_Artifact_陶器_97_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_98,E25_ManMadeFeature_Artifact_陶器_98_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_99,E25_ManMadeFeature_Artifact_陶器_99_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_100,E25_ManMadeFeature_Artifact_陶器_100_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_101,E25_ManMadeFeature_Artifact_陶器_101_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_102,E25_ManMadeFeature_Artifact_陶器_102_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_103,E25_ManMadeFeature_Artifact_陶器_103_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_104,E25_ManMadeFeature_Artifact_陶器_104_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_105,E25_ManMadeFeature_Artifact_陶器_105_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_106,E25_ManMadeFeature_Artifact_陶器_106_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_107,E25_ManMadeFeature_Artifact_陶器_107_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_108,E25_ManMadeFeature_Artifact_陶器_108_原始出土地点,P53_has_former_or_current_location
Artifact_陶器_108,E36_VisualItem_Artifact_陶器_108_纹饰类型,P65_shows_visual_item
E36_VisualItem_Artifact_陶器_108_纹饰类型,E55_Type_e88b0ca693,P2_has_type
