id:ID,:LABEL,name
E55_Type_7db59f3377,E55_Type,圆角三角形镂孔及错乱抹划纹
E55_Type_eb14c3f80a,E55_Type,四道宽凹旋纹
E55_Type_a1549f53f9,E55_Type,齿划纹
E55_Type_5f42c3f1a6,E55_Type,竖向阴刻线
E55_Type_191f748ac2,E55_Type,之字形刻划纹
E55_Type_4399ac1361,E55_Type,细泥条编织的辫子形纹饰
E55_Type_cde1f780db,E55_Type,"细弦纹, 粗凸弦纹"
E55_Type_251ab03ed9,E55_Type,凹旋纹和4个扁方镂孔
E55_Type_c67c74d4b5,E55_Type,拍印
E55_Type_c359750dfb,E55_Type,横向篮纹
E55_Type_c6593fa5e0,E55_Type,"横向篮纹, 纵向篮纹"
E55_Type_9fee9fd3ee,E55_Type,人形符号
E55_Type_6ec11ceacd,E55_Type,同心圆凹槽
E55_Type_206a1b44a6,E55_Type,抹划成凹旋纹
E55_Type_4903c97c88,E55_Type,斜条形拍印纹
E55_Type_3c39e49a7a,E55_Type,横向的平行直线纹，两头为纵向的平行直线纹
E55_Type_54cd8f9f12,E55_Type,螺旋纹
E55_Type_38aa002533,E55_Type,线切割痕
E55_Type_39d153f409,E55_Type,麻布纹
E55_Type_5eda76297d,E55_Type,鹰脸造型
E55_Type_1d1092a9f0,E55_Type,螺旋的蛇身点缀众多鸟首纹或卷云纹
E55_Type_33d1a92e33,E55_Type,连续的鸟首蛇身纹
E55_Type_bb1931b9ea,E55_Type,鸟首蛇身之间填以密实的图案化海涛纹
E55_Type_3f42ccca9e,E55_Type,以旋涡纹为接点的网格纹
E55_Type_32e88485da,E55_Type,纵向水波纹或纵向水波纹加鸟首纹图案
E55_Type_4421c04f58,E55_Type,篦纹组
E55_Type_0f5039ee20,E55_Type,双鸟头纹饰
E55_Type_c3d76fcb56,E55_Type,平行线纹、砖砌纹
E55_Type_62b1736850,E55_Type,水波形地纹、空心符号、云纹、叉纹
E55_Type_df13dd4ebc,E55_Type,鸟首蛇身纹、平行线纹、砖砌纹
E55_Type_f76c5a99e2,E55_Type,抽象刻划符号
