id,name,category,height,
obj_2a2bd9fa,M18:2,Pottery,8.4,E22_Man_Made_Object
obj_353b250e,M1:11,Pottery,,E22_Man_Made_Object
obj_a50613f6,M1:30,Pottery,,E22_Man_Made_Object
obj_6381701a,M1:45,Pottery,,E22_Man_Made_Object
obj_53eb531c,M1:15,Pottery,,E22_Man_Made_Object
obj_b8cd2478,M3:2,Pottery,,E22_Man_Made_Object
obj_c3cd6ee6,M6:1,Pottery,,E22_Man_Made_Object
obj_ac0bdb29,M7:3,Pottery,,E22_Man_Made_Object
obj_2e5b9406,M14:2,Pottery,,E22_Man_Made_Object
obj_80b4aad0,M17:8,Pottery,,E22_Man_Made_Object
obj_982a7680,M5:5,Pottery,,E22_Man_Made_Object
obj_cc4731a6,M5:6,Pottery,,E22_Man_Made_Object
obj_3e1fd42e,M9:1,Pottery,,E22_Man_Made_Object
obj_8ff58e7e,M18:3,Pottery,,E22_Man_Made_Object
obj_4999ff61,M1:64,Pottery,,E22_Man_Made_Object
obj_d46b057b,M1:65,Pottery,,E22_Man_Made_Object
obj_636c44e6,M1:66,Pottery,,E22_Man_Made_Object
obj_0a9101a4,M1:67,Pottery,,E22_Man_Made_Object
obj_82d3abfa,M1:68,Pottery,,E22_Man_Made_Object
obj_e8701535,M1:69,Pottery,,E22_Man_Made_Object
obj_ae8ac972,M1:70,Pottery,,E22_Man_Made_Object
obj_f99dd0d6,M1:71,Pottery,,E22_Man_Made_Object
obj_cffd382b,M1:72,Pottery,,E22_Man_Made_Object
obj_3f5cd4af,M1:73,Pottery,,E22_Man_Made_Object
obj_30def7a2,M1:74,Pottery,,E22_Man_Made_Object
obj_3ece8c1b,M1:75,Pottery,,E22_Man_Made_Object
obj_0d1dac97,M1:77,Pottery,,E22_Man_Made_Object
obj_3c876e87,M1:78,Pottery,,E22_Man_Made_Object
obj_6f38e7c8,M1:79,Pottery,,E22_Man_Made_Object
obj_32571c99,M1:80,Pottery,,E22_Man_Made_Object
obj_3da0cd8d,M1:81,Pottery,,E22_Man_Made_Object
obj_049446a4,M1:82,Pottery,,E22_Man_Made_Object
obj_18d15a6b,M1:83,Pottery,,E22_Man_Made_Object
obj_dd27024b,M1:84,Pottery,,E22_Man_Made_Object
obj_8e4db0be,M1:85,Pottery,,E22_Man_Made_Object
obj_46ed4c26,M1:86,Pottery,,E22_Man_Made_Object
obj_eea7a91d,M1:87,Pottery,,E22_Man_Made_Object
obj_a1438978,M1:92,Pottery,,E22_Man_Made_Object
obj_2deb7ef3,M1:93,Pottery,,E22_Man_Made_Object
obj_2881eb76,M1:95,Pottery,,E22_Man_Made_Object
obj_aec239b5,M1:96,Pottery,,E22_Man_Made_Object
obj_942b7ab3,M1:99,Pottery,,E22_Man_Made_Object
obj_d1fe3f0d,M1:100,Pottery,,E22_Man_Made_Object
obj_9f051e29,M1:101,Pottery,,E22_Man_Made_Object
obj_8c1de4e5,M1:102,Pottery,,E22_Man_Made_Object
obj_f8e2212f,MI:104,Pottery,,E22_Man_Made_Object
obj_aa7bca29,M1:105,Pottery,,E22_Man_Made_Object
obj_2fa3a19f,M1:106,Pottery,,E22_Man_Made_Object
obj_55996854,M2:12,Pottery,,E22_Man_Made_Object
obj_7deb281b,M3:6,Pottery,,E22_Man_Made_Object
obj_5db409d4,M3:10,Pottery,,E22_Man_Made_Object
obj_f927ff1b,M4:2,Pottery,,E22_Man_Made_Object
obj_08501986,M4:5,Pottery,,E22_Man_Made_Object
obj_fb1f90e5,M9:2,Pottery,,E22_Man_Made_Object
obj_1701d081,M9:3,Pottery,,E22_Man_Made_Object
obj_0b08d6a7,M9:5,Pottery,,E22_Man_Made_Object
obj_b29a2021,M9:7,Pottery,,E22_Man_Made_Object
obj_a33d9089,M9:9,Pottery,,E22_Man_Made_Object
obj_5a78e776,M12:2,Pottery,,E22_Man_Made_Object
obj_1803f093,M13:1,Pottery,,E22_Man_Made_Object
obj_e4052458,M13:2,Pottery,,E22_Man_Made_Object
obj_85877d81,M13:4,Pottery,,E22_Man_Made_Object
obj_6b63675c,M13:7,Pottery,,E22_Man_Made_Object
obj_6c85fe05,M13:8,Pottery,,E22_Man_Made_Object
obj_db3786ec,M13:10,Pottery,,E22_Man_Made_Object
obj_d06f0b6a,M13:19,Pottery,,E22_Man_Made_Object
obj_88302251,M13:21,Pottery,,E22_Man_Made_Object
obj_3f3525db,M13:22,Pottery,,E22_Man_Made_Object
obj_b04e947d,M13:23,Pottery,,E22_Man_Made_Object
obj_78d4bf81,M13:24,Pottery,,E22_Man_Made_Object
obj_c5c876a6,M14:4,Pottery,,E22_Man_Made_Object
obj_5d267336,M14:5,Pottery,,E22_Man_Made_Object
